Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TypeOfService09-10-11,Chrome 72.0.3626.119,,2019-03-01 15:34:47,2019-03-01 15:35:53,1m - 6.737s,PASSED
,,,,,,
Test Cases/TypeOfService/Type of service-09,Chrome 72.0.3626.119,,2019-03-01 15:34:47,2019-03-01 15:35:15,27.850s,PASSED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-01 15:34:48,2019-03-01 15:34:56,7.675s,PASSED
"navigateToUrl(""http://helpdesk.wisky.vn/"")",Chrome 72.0.3626.119,,2019-03-01 15:34:56,2019-03-01 15:34:58,1.979s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/input_ODTS_username""), ""admin01"")",Chrome 72.0.3626.119,,2019-03-01 15:34:58,2019-03-01 15:34:58,0.329s,PASSED
"setEncryptedText(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/input_ODTS_password""), ""aeHFOx8jV/A="")",Chrome 72.0.3626.119,,2019-03-01 15:34:58,2019-03-01 15:34:58,0.312s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/button_ng Nhp""))",Chrome 72.0.3626.119,,2019-03-01 15:34:58,2019-03-01 15:34:59,0.215s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/a_Loi Dch V""))",Chrome 72.0.3626.119,,2019-03-01 15:34:59,2019-03-01 15:35:02,3.454s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 15:35:02,2019-03-01 15:35:03,1.344s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/a_Xem Dch V""))",Chrome 72.0.3626.119,,2019-03-01 15:35:03,2019-03-01 15:35:04,0.516s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 15:35:04,2019-03-01 15:35:05,1.027s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/a_Xem Hng Dn""))",Chrome 72.0.3626.119,,2019-03-01 15:35:05,2019-03-01 15:35:06,0.543s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 15:35:06,2019-03-01 15:35:07,1.203s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/font_To Hng Dn""))",Chrome 72.0.3626.119,,2019-03-01 15:35:07,2019-03-01 15:35:07,0.349s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 15:35:07,2019-03-01 15:35:08,1.071s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/input_Ni dung hng dn_siGuideli""), ""anhtest"")",Chrome 72.0.3626.119,,2019-03-01 15:35:08,2019-03-01 15:35:09,0.605s,PASSED
CDATE = SimpleDateFormat(dd/MM/yyyy).format(getInstance().getTime()),Chrome 72.0.3626.119,,2019-03-01 15:35:09,2019-03-01 15:35:09,0.025s,PASSED
writer = null,Chrome 72.0.3626.119,,2019-03-01 15:35:09,2019-03-01 15:35:09,0.000s,PASSED
writer2 = null,Chrome 72.0.3626.119,,2019-03-01 15:35:09,2019-03-01 15:35:09,0.024s,PASSED
try,Chrome 72.0.3626.119,,2019-03-01 15:35:09,2019-03-01 15:35:09,0.042s,PASSED
Finally,Chrome 72.0.3626.119,,2019-03-01 15:35:09,2019-03-01 15:35:09,0.046s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 15:35:09,2019-03-01 15:35:10,1.101s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/button_To Mi""))",Chrome 72.0.3626.119,,2019-03-01 15:35:10,2019-03-01 15:35:10,0.144s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 15:35:10,2019-03-01 15:35:11,1.054s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/button_OK""))",Chrome 72.0.3626.119,,2019-03-01 15:35:11,2019-03-01 15:35:11,0.183s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 15:35:11,2019-03-01 15:35:12,1.014s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/fieldSearch""))",Chrome 72.0.3626.119,,2019-03-01 15:35:12,2019-03-01 15:35:13,0.208s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/input""), ""anhtest"")",Chrome 72.0.3626.119,,2019-03-01 15:35:13,2019-03-01 15:35:13,0.270s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 15:35:13,2019-03-01 15:35:14,1.014s,PASSED
"verifyElementText(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/td_anhtest""), ""anhtest"")",Chrome 72.0.3626.119,,2019-03-01 15:35:14,2019-03-01 15:35:14,0.133s,PASSED
"verifyElementText(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/td_25022019""), CDATE)",Chrome 72.0.3626.119,,2019-03-01 15:35:14,2019-03-01 15:35:14,0.106s,PASSED
"verifyElementText(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/td_25022019""), CDATE)",Chrome 72.0.3626.119,,2019-03-01 15:35:14,2019-03-01 15:35:14,0.072s,PASSED
closeBrowser(),Chrome 72.0.3626.119,,2019-03-01 15:35:14,2019-03-01 15:35:15,1.034s,PASSED
,,,,,,
Test Cases/TypeOfService/Type of service-10,Chrome 72.0.3626.119,,2019-03-01 15:35:15,2019-03-01 15:35:34,18.855s,PASSED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-01 15:35:16,2019-03-01 15:35:18,2.560s,PASSED
"navigateToUrl(""http://helpdesk.wisky.vn/"")",Chrome 72.0.3626.119,,2019-03-01 15:35:18,2019-03-01 15:35:20,2.340s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/input_ODTS_username""), ""admin01"")",Chrome 72.0.3626.119,,2019-03-01 15:35:20,2019-03-01 15:35:21,0.264s,PASSED
"setEncryptedText(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/input_ODTS_password""), ""aeHFOx8jV/A="")",Chrome 72.0.3626.119,,2019-03-01 15:35:21,2019-03-01 15:35:21,0.204s,PASSED
"click(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/button_ng Nhp""))",Chrome 72.0.3626.119,,2019-03-01 15:35:21,2019-03-01 15:35:21,0.154s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/a_Loi Dch V""))",Chrome 72.0.3626.119,,2019-03-01 15:35:21,2019-03-01 15:35:23,2.236s,PASSED
"click(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/a_Xem Dch V""))",Chrome 72.0.3626.119,,2019-03-01 15:35:23,2019-03-01 15:35:25,1.280s,PASSED
waitForAlert(1),Chrome 72.0.3626.119,,2019-03-01 15:35:25,2019-03-01 15:35:26,1.035s,PASSED
