Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
navigateToUrl(url),Chrome 73.0.3683.86,,2019-04-03 16:42:19,2019-04-03 16:42:21,2.634s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/input_ODTS_username""), ""admin01"")",Chrome 73.0.3683.86,,2019-04-03 16:42:21,2019-04-03 16:42:22,0.222s,PASSED
"setEncryptedText(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/input_ODTS_password""), ""aeHFOx8jV/A="")",Chrome 73.0.3683.86,,2019-04-03 16:42:22,2019-04-03 16:42:22,0.195s,PASSED
"click(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/button_ng Nhp""))",Chrome 73.0.3683.86,,2019-04-03 16:42:22,2019-04-03 16:42:22,0.141s,PASSED
"click(findTestObject(""TypeOfService/Type of service-09/Page_ODTS System/a_Loi Dch V""))",Chrome 73.0.3683.86,,2019-04-03 16:42:22,2019-04-03 16:42:24,2.198s,PASSED
"click(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/a_Xem Dch V""))",Chrome 73.0.3683.86,,2019-04-03 16:42:24,2019-04-03 16:42:25,0.628s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:42:25,2019-04-03 16:42:26,1.039s,PASSED
"click(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/a_Xem Hng Dn""))",Chrome 73.0.3683.86,,2019-04-03 16:42:26,2019-04-03 16:42:26,0.374s,PASSED
"click(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/fieldSearch""))",Chrome 73.0.3683.86,,2019-04-03 16:42:26,2019-04-03 16:42:26,0.191s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/input""), ""anhtest"")",Chrome 73.0.3683.86,,2019-04-03 16:42:26,2019-04-03 16:42:27,0.298s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:42:27,2019-04-03 16:42:28,1.017s,PASSED
"click(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/button_anhtest_btn btn-warning""))",Chrome 73.0.3683.86,,2019-04-03 16:42:28,2019-04-03 16:42:28,0.246s,PASSED
waitForAlert(1),Chrome 73.0.3683.86,,2019-04-03 16:42:28,2019-04-03 16:42:29,1.020s,PASSED
"setText(findTestObject(""TypeOfService/Type of service-10/Page_ODTS System/input_Ni dung hng dn_siGuideli""), ""anhtest22"")",Chrome 73.0.3683.86,,2019-04-03 16:42:29,2019-04-03 16:42:29,0.310s,PASSED
UDATE = SimpleDateFormat(dd/MM/yyyy).format(getInstance().getTime()),Chrome 73.0.3683.86,,2019-04-03 16:42:29,2019-04-03 16:42:29,0.001s,PASSED
writer = null,Chrome 73.0.3683.86,,2019-04-03 16:42:29,2019-04-03 16:42:29,0.000s,PASSED
